id,name,category,avg_time_hr,entry_fee,popularity,comfort,fun_score,latitude,longitude
1,India Gate,history,1.5,0,9,9,8,28.6129,77.2295
2,Lotus Temple,culture,1.0,0,8,9,8,28.5535,77.2588
3,Qutub Minar,history,2.0,40,9,8,9,28.5244,77.1855
4,Red Fort,history,2.0,35,9,7,8,28.6562,77.2410
5,Chandni Chowk,food,2.0,0,9,6,9,28.6562,77.2301
6,Hauz Khas Village,culture,2.5,0,8,8,8,28.5494,77.2001
7,Akshardham Temple,culture,2.0,0,9,9,9,28.6127,77.2773
8,Connaught Place,food,1.5,0,8,8,8,28.6304,77.2177
9,Humayun's Tomb,history,1.5,30,8,8,8,28.5933,77.2507
10,Lodhi Garden,culture,1.5,0,8,9,8,28.5938,77.2197
